,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,Total Expenditures,ICA1,ICA2,ICA3,ICA4,ICA5,ICA6,0.575178417,0.776908552,0.74067988,0.388435912,0.633881832,0.496848605,<- originals
439,2787,1698,2510,65,477,52,7589,-224.9608093,14149.02175,13191.5709,5012.414493,7093.240176,427.0051384,,,,,,,
364,2615,873,1524,1103,514,468,7097,-266.276652,15525.22258,14198.82292,4140.358195,4204.592031,890.513056,,,,,,,
274,894,1703,1841,744,759,1153,7094,-1037.306673,14767.54757,14445.71059,4811.627632,3577.089343,1658.477868,,,,,,,
34,1502,1979,2262,425,483,395,7046,-802.6853025,13666.34427,13740.85633,4722.854459,6379.502863,817.2875039,,,,,,,
367,3477,894,534,1457,252,342,6956,71.45331056,13973.11735,15331.38392,3801.993258,3502.175336,752.197271,,,,,,,
184,327,918,4710,74,334,11,6374,-1299.233157,19732.66277,10140.59745,4568.499046,11684.55392,366.8967375,,,,,,,
203,583,685,2216,469,954,18,4925,-919.9920299,15993.75433,13320.39962,4375.420667,4143.686378,466.5266518,,,,,,,
352,608,1106,1533,830,90,195,4362,-1124.896964,14921.32366,14228.73607,4086.617564,6550.319225,636.8137824,,,,,,,
299,444,879,2060,264,290,259,4196,-1130.636554,16204.03256,13572.78016,4719.210085,6657.634236,716.6454867,,,,,,,
327,542,899,1664,414,88,522,4129,-1147.833747,16152.29082,14114.62051,4737.157493,6536.547371,998.6383933,,,,,,,
275,680,1610,223,862,96,379,3850,-1077.329322,11879.43319,16148.56517,4278.815234,4090.260225,870.9744823,,,,,,,
131,2101,589,314,346,70,310,3730,-394.2312245,14487.70122,15607.07962,4923.84542,4120.491422,789.8419884,,,,,,,
355,190,727,2012,245,184,127,3485,-1222.37282,16416.52208,13533.02292,4634.069266,7109.197337,582.4095548,,,,,,,
98,503,112,778,895,56,132,2476,-1038.660395,16291.2372,14800.55035,4008.837577,4982.801521,608.5136756,,,,,,,
97,403,254,610,774,54,63,2158,-1065.074135,15545.50241,15063.0069,4110.569881,4822.454328,544.8124584,,,,,,,
154,622,55,137,75,7,8,904,-887.9906156,15213.06711,15619.32722,4920.767759,4271.960581,520.4342221,,,,,,,
